ACCNTNUM	CNTRYSCHEME	POSTALCODE	CNTRYCODE	STATE	COUNTY	DISTRICT	NUMBLDGS	EQCV1VAL	EQCV2VAL	EQCV3VAL	EQSITELIM	WSCV1VAL	WSCV2VAL	WSCV3VAL	WSSITELIM	EQCV1VCUR	EQCV2VCUR	EQCV3VCUR	EQSITELCUR	WSCV1VCUR	WSCV2VCUR	WSCV3VCUR	WSSITELCUR	OCCSCHEME	OCCTYPE	ENGFOUND	STRUCTUP	IFMVERTICALEXPDIST	IFMEQUIPBRACING	BLDGSCHEME	BLDGCLASS	NUMSTORIES	YEARBUILT
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	11	672000000.0000001	112000000.00000001	44800000.00000001	5000000000.0	672000000.0000001	112000000.00000001	44800000.00000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331	Y	N	M	N	RMS	311	8	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	11	672000000.0000001	112000000.00000001	44800000.00000001	5000000000.0	672000000.0000001	112000000.00000001	44800000.00000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331	Y	N	M	N	RMS	311	8	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	5	288000000.00000006	48000000.00000001	19200000.000000004	5000000000.0	288000000.00000006	48000000.00000001	19200000.000000004	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331	Y	N	M	N	RMS	311	15	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	5	288000000.00000006	48000000.00000001	19200000.000000004	5000000000.0	288000000.00000006	48000000.00000001	19200000.000000004	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331	Y	N	M	N	RMS	311	15	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	3	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331					RMS	411	8	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	3	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331					RMS	411	8	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331					RMS	411	15	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	331					RMS	411	15	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	3	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	311	8	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	3	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	168000000.00000003	28000000.000000004	11200000.000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	311	8	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	311	15	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	72000000.00000001	12000000.000000002	4800000.000000001	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	311	15	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	42000000.00000001	7000000.000000001	2800000.0000000005	5000000000.0	42000000.00000001	7000000.000000001	2800000.0000000005	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	411	8	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	1	42000000.00000001	7000000.000000001	2800000.0000000005	5000000000.0	42000000.00000001	7000000.000000001	2800000.0000000005	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	411	8	2018
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	0	18000000.000000004	3000000.0000000005	1200000.0000000002	5000000000.0	18000000.000000004	3000000.0000000005	1200000.0000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	411	15	2010
ACC-JP-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	0	18000000.000000004	3000000.0000000005	1200000.0000000002	5000000000.0	18000000.000000004	3000000.0000000005	1200000.0000000002	5000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	320					RMS	411	15	2018
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	30	226800000.0	45360000.0	7560000.0	2000000000.0	226800000.0	45360000.0	7560000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	3	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	20	151200000.0	30240000.0	5040000.0	2000000000.0	151200000.0	30240000.0	5040000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	3	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	20	151200000.0	30240000.0	5040000.0	2000000000.0	151200000.0	30240000.0	5040000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	6	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	13	100800000.00000001	20160000.000000004	3360000.0000000005	2000000000.0	100800000.00000001	20160000.000000004	3360000.0000000005	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	6	2008
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	20	151199999.99999997	30239999.999999996	5039999.999999999	2000000000.0	151199999.99999997	30239999.999999996	5039999.999999999	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	111	3	1995
ACC-JP-002	ISO	530-0001	JP	Osaka	Osaka-shi	Kita-ku	13	100800000.0	20160000.0	3360000.0	2000000000.0	100800000.0	20160000.0	3360000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	111	3	2008
