ACCNTNUM	CNTRYSCHEME	POSTALCODE	CNTRYCODE	STATE	COUNTY	DISTRICT	NUMBLDGS	EQCV1VAL	EQCV2VAL	EQCV3VAL	EQSITELIM	WSCV1VAL	WSCV2VAL	WSCV3VAL	WSSITELIM	EQCV1VCUR	EQCV2VCUR	EQCV3VCUR	EQSITELCUR	WSCV1VCUR	WSCV2VCUR	WSCV3VCUR	WSSITELCUR	OCCSCHEME	OCCTYPE	ENGFOUND	STRUCTUP	IFMVERTICALEXPDIST	IFMEQUIPBRACING	BLDGSCHEME	BLDGCLASS	NUMSTORIES	YEARBUILT
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	13	126000000.0	25200000.0	6300000.0	2000000000.0	126000000.0	25200000.0	6300000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	3	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	13	126000000.0	25200000.0	6300000.0	2000000000.0	126000000.0	25200000.0	6300000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	3	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	8	84000000.0	16800000.0	4200000.0	2000000000.0	84000000.0	16800000.0	4200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	8	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	8	84000000.0	16800000.0	4200000.0	2000000000.0	84000000.0	16800000.0	4200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	311	8	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	5	54000000.0	10800000.0	2700000.0	2000000000.0	54000000.0	10800000.0	2700000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	100	3	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	5	54000000.0	10800000.0	2700000.0	2000000000.0	54000000.0	10800000.0	2700000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	100	3	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	4	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	100	8	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	4	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	311					RMS	100	8	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	8	83999999.99999999	16800000.0	4200000.0	2000000000.0	83999999.99999999	16800000.0	4200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	3	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	8	83999999.99999999	16800000.0	4200000.0	2000000000.0	83999999.99999999	16800000.0	4200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	3	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	6	55999999.99999999	11199999.999999998	2799999.9999999995	2000000000.0	55999999.99999999	11199999.999999998	2799999.9999999995	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	8	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	6	55999999.99999999	11199999.999999998	2799999.9999999995	2000000000.0	55999999.99999999	11199999.999999998	2799999.9999999995	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	311	8	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	4	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	100	3	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	4	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	36000000.0	7199999.999999999	1799999.9999999998	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	100	3	1985
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	2	24000000.0	4800000.0	1200000.0	2000000000.0	24000000.0	4800000.0	1200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	100	8	2005
ACC-DEMO-001	ISO	100-0001	JP	Tokyo	Chiyoda	Marunouchi	2	24000000.0	4800000.0	1200000.0	2000000000.0	24000000.0	4800000.0	1200000.0	2000000000.0	JPY	JPY	JPY	JPY	JPY	JPY	JPY	JPY	RMS	300					RMS	100	8	1985
